Shops,Billabong,Bliss,Boulder Book Store,Boulder Bazaar,Canova Home Inc,Charlie's T-Shirts,Cured,The Dandelion,Envision,Food Lab,Freebird Stores,Ty's Sex Shop,Barber,Buffalos Gun Shop,Taco Bell
Billabong,0,300,-1,-1,-1,-1,-1,-1,663,487,-1,-1,-1,-1,-1
Bliss,300,0,-1,-1,982,640,-1,-1,-1,-1,215,-1,-1,-1,-1
Boulder Book Store,-1,-1,0,-1,1130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Boulder Bazaar,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1162,-1,-1,1095
Canova Home Inc,-1,982,1130,-1,0,344,-1,-1,-1,-1,-1,-1,-1,-1,-1
Charlie's T-Shirts,-1,640,-1,-1,344,0,-1,-1,-1,-1,-1,732,-1,-1,-1
Cured,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,414,989,408,-1,-1
The Dandelion,-1,-1,-1,-1,-1,-1,-1,0,159,-1,-1,-1,-1,-1,-1
Envision,663,-1,-1,-1,-1,-1,-1,159,0,864,-1,-1,-1,-1,-1
Food Lab,487,-1,-1,-1,-1,-1,-1,-1,864,0,-1,-1,-1,-1,-1
Freebird Stores,-1,215,-1,-1,-1,-1,414,-1,-1,-1,0,-1,-1,-1,-1
Ty's Sex Shop,-1,-1,-1,1162,-1,732,989,-1,-1,-1,-1,0,635,173,185
Barber,-1,-1,-1,-1,-1,-1,408,-1,-1,-1,-1,635,0,-1,-1
Buffalos Gun Shop,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,173,-1,0,142
Taco Bell,-1,-1,-1,1095,-1,-1,-1,-1,-1,-1,-1,185,-1,142,0
